run_accession	sample_alias
ERR649018	PG038-D
ERR649019	PG136-N
ERR649020	PG049-T
ERR649021	PG049-D
ERR649022	PG049-N
ERR649023	PG063-D
ERR649024	PG063-T
ERR649025	PG038-T
ERR649026	PG063-N
ERR649027	PG108-T
ERR649028	PG108-D
ERR649029	PG108-N
ERR649030	PG129-N
ERR649031	PG129-D
ERR649032	PG129-T
ERR649033	PG123-D
ERR649034	PG086-N
ERR649035	PG038-N
ERR649036	PG086-T
ERR649037	PG086-D
ERR649038	PG137-N
ERR649039	PG137-D
ERR649040	PG137-T
ERR649041	PG136-D
ERR649042	PG136-T
ERR649043	PG123-N
ERR649044	PG123-T
ERR649045	PG105-T
ERR649046	PG144-N
ERR649047	PG144-D
ERR649048	PG144-T
ERR649049	PG146-N
ERR649050	PG146-D
ERR649051	PG146-T
ERR649052	PG174-N
ERR649053	PG105-N
ERR649054	PG174-T
ERR649055	PG174-D
ERR649056	PG187-T
ERR649057	PG187-D
ERR649058	PG187-N
ERR649059	PG004-N
ERR649060	PG004-D
ERR649061	PG004-T
ERR649062	PG079-N
ERR649063	PG105-D
ERR649064	PG079-D
ERR649065	PG079-T
ERR649066	PG192-N
ERR649067	PG192-D
ERR649068	PG192-T
ERR649069	PG122-N
ERR649070	PG122-D
ERR649071	PG122-T
ERR649072	PG114-N
ERR649073	PG114-D
ERR649074	PG114-T
